Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-05-05 08:09:06+00:00,1522126224998379521,"I’ve just added my name to help end HIV/AIDS, malaria &amp; tuberculosis &amp; save millions of lives. Will you join me? https://t.co/LPRmWI3bqx",,0,0,0,800577619,[]
2022-05-05 08:03:21+00:00,1522124779796549633,Deputy Speaker calls for accountability in malaria fight https://t.co/aaMXVRQIE3,,0,0,0,405795146,[]
2022-05-05 08:01:02+00:00,1522124197211906050,"A travel health risk assessment can be advisable for some, even when vaccines or malaria tablets are not required.

This includes older people, those with a weakened immune system or long-term conditions requiring medications, pregnant women &amp; children.

💻https://t.co/UqnVVDtwii https://t.co/bECsTtDPCF",,0,0,0,87191924,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-05-05 08:00:07+00:00,1522123962943213571,"Let's talk malaria!
 Today Thursday 5th at Ivys Hotel, 7pm with Ms. Cynthia Pacutho.

Our bid to work closely with the Youth continues, with CMP Alebar of RAC Kyengera presiding over fellowship.

Come see how wonderful we do it at https://t.co/0PaAmMA1Sk",,2,0,4,1157990335869587456,[]
2022-05-05 07:52:01+00:00,1522121925237088256,Definitely malaria 🤣 https://t.co/vtor2OYSlY,,0,1,0,56371792,[]
2022-05-05 07:51:44+00:00,1522121853556428800,A mechanistic model of collateral drug sensitivity in #Plasmodium explains how polymorphisms in genes encoding pfmdr1 &amp; pfcrt alter the #malaria #parasite’s susceptibility to most current #antimalarial drugs @SarahShafik3 &amp;co @womeninmalaria #PLOSBiology https://t.co/1Cy5nYbdtN https://t.co/xhC8ifIPAY,,3,0,6,96102210,[]
2022-05-05 07:45:02+00:00,1522120168922652672,"Researching #malaria in pregnancy? Check out the malaria in pregnancy library, an ¬online resource to search published and unpublished literature https://t.co/Py3imqc0RY
@AfricaCDC @WHOAFRO @CDCSouthAfrica @VivaxHub @MalariaSevere @LSTM_NTDs 
📷Doune Porter-Gavi https://t.co/ak9eEYF7kO",,1,0,0,253971199,[]
2022-05-05 07:39:11+00:00,1522118695916560384,"😂😂😂😂😂 malaria, emmarose turn mosquitoes now?? Take medicine 😂😂 https://t.co/6bvuZ8q6j2",,0,0,0,839219693915340800,[]
2022-05-05 07:38:38+00:00,1522118560172199942,"Tayebwa wants malaria funds to reach affected communities
#NilePostNews #NBSUpdates 

https://t.co/sma3GFMKj5",,0,1,6,899936409074761728,[]
2022-05-05 07:37:03+00:00,1522118159838289921,Countries in WHO South-East Asia Region renew commitment to eliminate malaria by 2030 https://t.co/NHeaVNHRcq,,0,0,0,771961699251392512,[]
