Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-05-12 07:48:28+00:00,1524657746146037761,"Brahmin priests are more harmful to society than mosquitoes of malaria and dengue, spread blindfaith orthodoxy ritualism in gullible devotees to solicit food gifts donations even sex in name of mythological Gods/Goddesses. These evils has become cancerious difficult to cure. https://t.co/D27EkF5vY1",,0,1,0,701332457816084483,[]
2022-05-12 07:42:10+00:00,1524656161563320325,"https://t.co/gxxRXW5MtC
This video shows how VHTs that we trained are treating and testing malaria in the community",,0,0,0,1340717239029383175,[]
2022-05-12 07:40:48+00:00,1524655817504477184,A handmade trap for malaria mosquito surveillance by citizens in Rwanda https://t.co/UNxtKAlUhg,,0,0,0,3428446343,[]
2022-05-12 07:40:47+00:00,1524655815101231104,Variation in Glucose-6-Phosphate Dehydrogenase activity following acute malaria https://t.co/SHIEFnUGhf,,0,0,0,3428446343,[]
2022-05-12 07:40:46+00:00,1524655809065537537,Tafenoquine for the prevention of Plasmodium vivax malaria relapse https://t.co/yaCU1yHNYY,,0,0,0,3428446343,[]
2022-05-12 07:40:13+00:00,1524655670699696130,"In parts of Africa, malaria is now developing resistance to a crucial drug. But without better surveillance, experts say, it will be hard to track the parasite, which infects millions every year.

https://t.co/jCObtNUzXQ",,0,0,1,3883416257,[]
2022-05-12 07:34:37+00:00,1524654262332055554,"The Ministry of Health and Sanitation and the U.S. government’s President’s Malaria Initiative (PMI) have launched an indoor residual spraying (IRS) campaign that will protect over 670,000 people from malaria in Bo and Bombali districts. https://t.co/GtsY5sVIaX",,0,1,1,1248048870,[]
2022-05-12 07:31:02+00:00,1524653358933594112,Malaria actually https://t.co/GEDXvgXY3e,,0,0,0,578119671,[]
2022-05-12 07:27:31+00:00,1524652474556108801,Who needs malaria drugs when there’s Martel 💪🏾 https://t.co/VprCp97rmP,,0,0,0,89684569,[]
2022-05-12 07:25:17+00:00,1524651915308679168,"Community health workers training on the environmental cleaning aspect in reducing the transmission of malaria
#tunzamazingiraepukamalaria https://t.co/GOi3sQJxgO",,0,0,0,1337286039484895233,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '903303816698671104', 'name': 'Wellness and health', 'description': 'Wellness & Health'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '918538847302041600', 'name': 'Community Health', 'description': 'Community Health'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-05-12 07:25:14+00:00,1524651899454111745,Zero malaria starts with me @CameroonArmy @amnesty @MWFCameroon @AngeleMessa @UNOCHA @WHO @UNICEF @UN_Women @WFP @CS4MEglobal @CamerounPnlp https://t.co/kYPrmGeV95,,0,0,1,1308666072258744320,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596157251587', 'name': 'Government/Education'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974597226729473', 'name': 'Non-profit'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026474874', 'name': 'UNICEF'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10043140158', 'name': 'Amnesty International'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044311823', 'name': 'United Nations', 'description': 'Global conversation about the United Nations and all related efforts.'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10044311825', 'name': 'World Food Programme'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '907295166406389760', 'name': 'UNICEF', 'description': 'UNICEF'}}, {'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '10044311823', 'name': 'United Nations', 'description': 'Global conversation about the United Nations and all related efforts.'}}]"
2022-05-12 07:20:25+00:00,1524650688554405889,malaria has finally caught me by the hem of my garment 😭,,0,1,1,1020450999029428225,[]
2022-05-12 07:17:44+00:00,1524650013284089856,Are you feeling insecure for yourself reach out to @PomuUganda helpline services to access accurate information on HIV TB and malaria or looking for a partner just dial the numbers below 👇🏿#Pomu https://t.co/j6DgNxrFYr,,2,0,3,976447454412500992,[]
2022-05-12 07:17:13+00:00,1524649884833529857,The Guinness World Record for the most times a single person has malaria before being released,,0,0,0,4756930785,[]
2022-05-12 07:14:03+00:00,1524649087575994368,"Man, the wild dreams that come with malaria!! 😩",,1,0,0,980632095172292609,[]
2022-05-12 07:10:03+00:00,1524648078678048773,"The veterinary arm of the @UNITAID-funded #BOHEMIAproject is a unique addition to the MDA testing #ivermectin to fight #malaria.

Read about how this #OneHealth approach involves animals to help reduce #malaria transmission: https://t.co/H6a4izQKNb https://t.co/fSfGYUTJ0x",,1,0,0,294729093,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-05-12 07:09:51+00:00,1524648028388446208,Don't forget to take your #Malaria pill!,,1,0,0,2231406062,[]
2022-05-12 07:07:23+00:00,1524647410139598849,Drug-drug Interactions of Artemisinin-based Combination Therapies in Malaria Treatment: A narrative review of the literature - https://t.co/WOEd2XvfzZ,,0,0,0,360220091,[]
2022-05-12 07:06:00+00:00,1524647059562901504,"The ‘Big-Three’ infectious diseases - #HIV, #malaria and #TB – killed more than 2.8 million people in 2020. New vaccines, based on mRNA technology used in the pandemic, could play a huge role in reducing the number of deaths from these deadly diseases. https://t.co/706s5URhiy",,1,0,0,376819013,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
