Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-11-17 14:42:28+00:00,1593253241630130178,"Housing affordability is a key challenge in our country today. About 6.4 million Kenyan urban population live in informal settlements making them to be at risk of respiratory infection, malaria and jiggers infestation ( kenya habitat for humanity,2020)",,0,0,1,1512369141994377219,[]
2022-11-17 14:38:56+00:00,1593252350281805826,"“If you’re going to discuss about malaria, don’t invite the mosquitoes""

Large fossil fuel-producing nations assert themselves as key players during COP27 in Egypt 

https://t.co/ejtOiY3aQd",,1,0,0,20431600,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1575059325864681472', 'name': 'COP27 Sharm Al Sheikh, Egypt'}}]"
2022-11-17 14:37:08+00:00,1593251899389534211,"MEDIA BRIEFING 
Malaria Vaccine Implementation Programme
Theme: Malaria Vaccine for Additional Protection https://t.co/nOdFJIYwUF",,1,1,5,1267427915245006849,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-11-17 14:35:23+00:00,1593251460300824577,"Health &amp; Malaria Inspector cadre of Medical Department of Indian Railway should be included in Supervisory cadre for upgradation from Level-7 to Level-8 and further to Level-9
#CHI_also_supervisor",,1,1,1,740491658236551168,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697439489880065', 'name': 'Travel & Transportation Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to travel as airlines, travel agencies, hotels'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1206695792582414336', 'name': 'Railway transport'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '781974597302226944', 'name': 'Transportation'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839159814991167489', 'name': 'Travel', 'description': 'Travel'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1206695792582414336', 'name': 'Railway transport'}}]"
2022-11-17 14:34:23+00:00,1593251207509704705,"I can't stand the Malaria squint, just as much much as I can't stand orange ass face. https://t.co/6qZayNiEe4",,0,0,0,281383605,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1053021848911282176', 'name': 'Ana Navarro', 'description': 'Ana Navarro'}}, {'domain': {'id': '94', 'name': 'Journalist', 'description': ""A journalist like 'Anderson Cooper'""}, 'entity': {'id': '1053021848911282176', 'name': 'Ana Navarro', 'description': 'Ana Navarro'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1053021848911282176', 'name': 'Ana Navarro', 'description': 'Ana Navarro'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1074755369530880001', 'name': 'Journalists', 'description': 'Journalism'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '866713693324574720', 'name': 'Melania Trump', 'description': 'Former US First Lady Melania Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '866713693324574720', 'name': 'Melania Trump', 'description': 'Former US First Lady Melania Trump'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}]"
2022-11-17 14:31:24+00:00,1593250455462694912,"3 herbs that kill parasites 
1.Cryptolepsis - has anti-parasitic , antibacterial &amp; antifungal properties, it can help with yeast overgrowth.
2. Sweet Angie -  used against malaria &amp; its antimicrobial &amp; antiparasitic 
3. Black walnut- expels worms &amp; parasites in the intestines. https://t.co/A8oc3Ee3pa",,0,0,0,189989642,[]
2022-11-17 14:30:01+00:00,1593250108942213120,"Start #reading First Comes Love, Then Comes Malaria Today - https://t.co/3bvh7c6Ios https://t.co/LZTFbtV9B8",,0,0,0,2811095673,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697121477832705', 'name': 'Publisher & News Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to  marketing and advertiser agencies, publishers of magazines, newspapers, blogs, books'}}, {'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847519659179954178', 'name': 'Books', 'description': 'Books and literature'}}, {'domain': {'id': '173', 'name': 'Product Taxonomy', 'description': 'A product taxonomy for labeling categories of products. '}, 'entity': {'id': '847519659179954178', 'name': 'Books', 'description': 'Books and literature'}}]"
2022-11-17 14:29:34+00:00,1593249995704049665,"RevMed Cannabis Cigar  has so many amazing benefits such as lupus, liver, malaria, bones, cartilage, degenerative disc disease, immune system, digestive function. https://t.co/KKB6hSS8L2

#RevMedDubaCannabis https://t.co/4NZBUzpjQu",,2,2,3,1248162356686962688,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847869198579646464', 'name': 'Cigars', 'description': 'Cigars'}}]"
2022-11-17 14:28:45+00:00,1593249790950678528,"#Malariafacts 📚

📘 Malaria gets transmitted via bites from mosquitoes infected with parasites
📘 It is a life-threatening disease but is also preventable

If you’re going somewhere where you might get infected, be sure to take all necessary precautions 🙌 https://t.co/1ygQwpRRua",,0,0,0,1369386620516982784,[]
2022-11-17 14:27:06+00:00,1593249375702351873,Lifestyle: Lemongrass basil oil lavender oil will reduce the risk of dengue malaria by essential oil Use Camphor - Zoom News || #GetMoreBusiness This could be YOUR product or service link so visit How Local Businesses Benefit from On-Topic Breaking News… https://t.co/auVIfN0iwo,,0,0,0,1256019594,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1047084549396549632', 'name': 'Ongoing news stories', 'description': 'Breaking News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1407811550987972617', 'name': 'Industries'}}]"
