Datetime,Tweet Id,original_text,geo,retweet_count,reply_count,like_count,author_id,context_annotations
2022-03-31 08:53:05+00:00,1509453719351570433,"Unsurprisingly, rice paddies are prone to breeding malaria mosquitos https://t.co/G6TZQxVGS7",,0,0,0,1153763124,[]
2022-03-31 08:45:57+00:00,1509451922696253442,"I miss when I was a student. Small headache like this, I'll cancel school for the entire week🙈 Now I have to go work with freaking malaria!!!!
I hate it here😭😭😭",,0,0,0,908031386409414658,[]
2022-03-31 08:45:55+00:00,1509451913128984578,"#FMOH Malaria Program of Somalia today  conducted  Quaterly Malaria Coordination Meeting, Federal member states NGOs and local partners attended the meeting. https://t.co/YfybABeULk",,0,0,0,1253787149541019649,[]
2022-03-31 08:42:11+00:00,1509450976494862340,"Join the Malaria Youth Army by Choosing To fight for counts, in ending Malaria
 #Fightforwhatcounts #zeroMalaria #drawthelineganistMalaria #resilience #YOUTH 
@endmalaria @EndMalariaKenya @ALMA_2030 @MalariaArmy @malarianomoreuk https://t.co/UtZm85Ig4P",,5,1,6,1417411085578260496,[]
2022-03-31 08:23:57+00:00,1509446385015443459,"How to prevent malaria
•Taking antimalarial medication to kill the parasites 
•Keeping mosquitoes away from you through regular fumigation
•Sleeping under treated bed nets, applying mosquito repellent, wearing long-sleeved clothing   during night out-door activities. https://t.co/PQA0UcPL4e",,0,0,2,728241913313280000,"[{'domain': {'id': '65', 'name': 'Interests and Hobbies Vertical', 'description': 'Top level interests and hobbies groupings, like Food or Travel'}, 'entity': {'id': '844603730221707264', 'name': 'Fashion', 'description': 'Fashion'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1006277139233103872', 'name': 'Behavior around fashion', 'description': 'Behavior around Fashion'}}]"
2022-03-31 08:23:14+00:00,1509446208166805505,Be like malaria boosts my appetite.,,0,0,0,1356672297067773955,[]
2022-03-31 08:21:56+00:00,1509445881069809667,“The UC San Diego Biology Lab receives $1.4M Grant to Fight Malaria Spread”: Funding will be used to develop new technologies to boost safety of CRISPR-based genetic strategies. https://t.co/neQ6UDyuFt,,0,0,2,1390572498622820354,[]
2022-03-31 08:21:41+00:00,1509445818176126978,What do you want to consult when l  have told you l have malaria 🤷🏿‍♂️jst give meds and change me period😳 https://t.co/Dk2592RLWt https://t.co/Qd9lCzIUAY,,0,0,0,2366535473,[]
2022-03-31 08:17:48+00:00,1509444837791121410,why is my mouse shaking like it has malaria,,0,0,0,65019787,[]
2022-03-31 08:16:06+00:00,1509444412199550987,Lindsay Lohan was diagnosed with Malaria on a trip to Haiti.,,0,0,0,1306281657184522249,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '808724093650378752', 'name': 'Lindsay Lohan', 'description': 'Lindsay Lohan'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '808724093650378752', 'name': 'Lindsay Lohan', 'description': 'Lindsay Lohan'}}]"
2022-03-31 08:12:10+00:00,1509443419659198466,"I woke up this morning dead sick. ""Malaria, is that you?"" I was already getting pissed that I will have to be friends with drugs again, then I remembered that in the last 48 hours, I have only eaten once and I didn't take water at all yesterday...",,0,1,0,1636303328,[]
2022-03-31 08:11:01+00:00,1509443133255430152,"East Africa is one of the global hotspots of high human vulnerability to climate change, scientists warn of increased malaria outbreaks due to higher temperatures. #IPCC #ClimateCrisis 
https://t.co/NBEsX4vSKr",,2,0,3,1201095989249167360,[]
2022-03-31 08:10:09+00:00,1509442915285745664,I need to get some Malaria meds... https://t.co/91mCvVZZjW,,0,0,1,1502691023289557000,[]
2022-03-31 08:06:00+00:00,1509441870639902724,"📍Bushbuckridge

155 Machine Spray Operators needed for Malaria post 

Requirements:
Grade 10/Grade q2 
Ages of 24-45  

CV's with Z83 are submitted Thulamahashe Malaria Offices https://t.co/lcZN0IugMc",,4,0,2,987641467744210945,[]
2022-03-31 08:05:02+00:00,1509441625809948673,"Read this @TheLancetInfDis publication on how #ivermectin 💊 could be a complementary tool to reduce 🦟 malaria transmission.

The @UNITAID-funded #BOHEMIAproject is currently testing the safety &amp; efficacy of this revolutionary idea!
 
📰 https://t.co/raFHNDWDVQ https://t.co/B89JmIygiK",,0,0,0,294729093,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-03-31 08:00:24+00:00,1509440461563387907,"EVENT | #Malaria: Research for impact in the era of #COVID19

📆  April 6
⏰ 10.00 - 18.05 CET

Ft. @NanaAbaWill &amp; @ginagh from MESA &amp; @ISGLOBALorg !

#MESAOpportunities

Register 👉 https://t.co/0kkehiUBlN https://t.co/y9m3QcRlwN",,2,0,3,846104587,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
2022-03-31 08:00:17+00:00,1509440430450122752,"On 3 March, @GLIDE_AE convened a discussion with #malaria &amp; #NTDs health programs leaders on how to achieve equity in #GlobalHealth agenda to #BeatNTDs and reach #ZeroMalaria. Hear from @NoorAbdisalan @WHO who kicked off this #GLIDELabs event. https://t.co/MgCstzybVK",,0,0,0,1205731206547025921,[]
2022-03-31 07:58:10+00:00,1509439897844662274,Challenges in the diagnosis and treatment of malaria in Polish workers returning from Africa: a case series and review of literature https://t.co/oyFywX14s1,,0,0,0,1026801534137458688,[]
2022-03-31 07:51:06+00:00,1509438120105701377,"Female Aedes mosquito:- Dengue
Female Anopheles mosquito:- Malaria
Female Culex mosquito:- Filariasis
""Even in the community of mosquitoes 🦟 males are completely useless 😂😂😂""
#MedTwitter #Biology #science  #MedicalTwitter",,1,0,2,1311598286315241473,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '854692455005921281', 'name': 'Science', 'description': 'Science'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '847896837532995585', 'name': 'Biology', 'description': 'Biology'}}]"
2022-03-31 07:50:19+00:00,1509437922965082116,"IJERPH, Vol. 19, Pages 4141: Expert Consensus on a Proposed Study Framework to Explore Factors Influencing Plasmodium knowlesi Malaria Preventive Behavior: A Modified Delphi Method Protocol https://t.co/x8DJ8R0Ck4",,0,0,0,52728374,[]
