,bauchi,benin,bida,calabar,enugu,gusau,ibadan,ikeja,jos,kaduna,kano,katsina,lagos,lokoja,maiduguri,minna,nguru,ondo,oshogbo,sokoto,warri,yelwa,yola,zaria
2022-04-14,0.0,1.9,1.0,3.4,0.0,0.0,1.4,0.5,5.1,6.0,0.0,0.1,0.5,0.1,0.0,1.1,3.4,0.3,1.6,0.0,3.8,5.1,0.2,0.3
2022-04-15,0.8,0.2,5.2,2.8,1.0,0.2,3.6,0.3,6.6,1.1,0.1,0.0,0.3,0.3,0.0,1.1,0.1,0.5,0.8,1.5,3.1,6.6,3.1,7.5
2022-04-16,0.7,0.0,0.7,0.6,0.0,0.1,2.6,0.0,4.9,1.7,0.9,0.3,0.0,1.0,0.0,1.0,0.2,2.1,2.1,0.0,0.6,4.9,0.6,0.6
2022-04-17,0.0,1.2,0.0,2.8,0.4,0.5,1.1,1.2,3.5,0.2,0.3,0.0,1.2,10.3,0.0,0.3,2.1,4.9,2.8,0.0,1.5,3.5,0.4,0.1
2022-04-18,0.4,9.7,0.9,6.7,8.2,0.0,17.0,4.1,1.2,1.3,0.1,0.0,4.1,8.3,0.0,2.8,20.0,6.2,4.3,0.0,11.6,1.2,1.6,0.2
2022-04-19,0.0,0.6,0.0,2.3,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.3,0.0,0.0,0.0
2022-04-20,0.0,0.0,0.4,0.0,0.0,0.1,0.3,0.1,0.0,0.4,0.0,0.0,0.1,0.0,0.0,1.0,0.0,1.1,0.8,0.2,0.1,0.0,0.0,0.1
2022-04-21,0.0,1.2,0.3,1.3,0.9,0.0,2.4,2.1,0.4,1.2,0.0,0.0,2.1,0.7,0.0,1.8,1.6,6.3,4.7,0.0,2.1,0.4,0.0,0.1
2022-04-22,0.1,0.6,2.1,1.7,0.3,0.0,0.8,0.0,1.0,2.1,0.0,0.0,0.0,2.7,0.0,1.4,2.1,2.4,1.7,0.0,1.9,1.0,0.0,0.0
2022-04-23,0.0,0.0,1.4,0.4,0.0,0.0,4.4,0.6,0.0,0.7,0.0,0.0,0.6,1.4,0.0,0.6,0.0,1.1,0.4,0.0,0.0,0.0,0.0,0.0
2022-04-24,0.0,0.8,0.0,0.3,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.1,2.0,0.0,0.4,0.5,1.6,0.5,0.0,0.6,0.0,0.0,0.0
2022-04-25,0.0,0.4,0.3,0.1,0.1,0.0,1.0,0.3,0.4,0.0,0.0,0.0,0.3,0.6,0.0,0.5,0.0,1.5,1.9,0.0,0.6,0.4,0.0,0.0
2022-04-26,0.0,0.5,3.3,0.0,0.0,0.0,0.2,0.0,2.1,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.3,0.2,0.2,0.0,0.7,2.1,0.2,0.0
2022-04-27,0.0,1.7,1.5,6.8,0.2,0.0,5.2,1.3,0.9,0.0,0.0,0.0,1.3,8.4,0.8,0.3,2.5,2.8,2.9,0.0,0.5,0.9,0.2,0.0
2022-04-28,0.0,0.1,0.2,0.3,0.2,0.0,0.6,0.0,0.1,2.9,0.0,0.0,0.0,0.1,0.0,0.7,0.8,0.7,0.4,0.0,0.0,0.1,1.0,0.0
2022-04-29,0.0,0.0,1.7,0.2,0.0,0.0,0.4,0.0,0.3,0.7,0.0,0.0,0.0,0.2,0.0,0.5,0.5,0.4,2.0,0.0,0.3,0.3,0.4,0.0
2022-04-30,0.0,2.6,0.3,1.5,0.0,0.0,1.1,0.2,0.9,2.1,0.0,0.0,0.2,0.0,0.0,2.9,0.1,2.7,1.1,0.0,2.3,0.9,0.0,0.0
2022-05-01,0.3,0.0,0.5,0.0,0.1,0.0,0.5,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0
2022-05-02,0.1,2.7,1.6,2.6,0.8,0.0,3.7,3.5,3.3,0.5,0.0,0.0,3.5,4.2,0.2,1.9,0.8,5.7,4.5,0.0,3.9,3.3,0.0,0.0
2022-05-03,0.0,0.5,0.3,0.0,0.2,0.0,2.4,3.8,0.4,1.2,0.0,0.0,3.8,0.2,1.3,0.0,0.0,3.3,0.5,0.0,0.0,0.4,8.6,0.0
2022-05-04,0.2,0.1,0.2,0.2,0.2,0.0,0.3,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.9,0.0,6.7,1.4
2022-05-05,0.6,1.3,0.9,0.2,5.4,0.0,0.2,0.1,0.8,2.6,0.0,0.0,0.1,1.4,0.0,2.7,0.4,0.1,0.9,0.0,0.9,0.8,0.7,0.3
2022-05-06,0.3,0.1,1.7,3.2,0.2,2.0,4.1,1.2,4.7,2.1,0.0,0.0,1.2,0.5,0.1,2.5,8.1,1.9,2.2,0.0,1.2,4.7,0.2,2.4
2022-05-07,0.7,2.0,4.3,1.3,2.0,1.1,1.7,3.1,1.3,0.1,0.1,0.0,3.1,29.7,0.1,1.7,0.9,1.3,0.7,0.0,0.8,1.3,1.1,1.2
2022-05-08,0.7,0.0,0.0,0.0,0.0,0.1,0.4,0.2,0.9,0.7,0.8,0.0,0.2,0.2,0.0,0.3,0.0,0.0,0.1,0.0,0.4,0.9,4.6,2.3
2022-05-09,5.9,2.1,2.9,2.0,1.5,0.0,1.0,0.8,3.3,0.6,0.1,0.0,0.8,0.7,0.2,2.2,4.2,1.0,2.0,0.0,4.6,3.3,0.5,1.6
2022-05-10,0.4,1.8,3.8,0.7,8.4,0.2,1.9,2.4,0.7,2.6,0.0,0.3,2.4,1.3,0.0,7.3,0.1,1.2,2.4,0.0,1.2,0.7,0.8,2.2
2022-05-11,0.1,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.1,0.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7
2022-05-12,0.8,10.5,6.6,1.6,6.0,0.5,5.7,1.2,1.7,17.5,0.3,0.1,1.2,0.3,0.0,3.4,0.5,0.5,4.0,0.2,2.7,1.7,2.0,4.6
2022-05-13,0.2,0.0,1.2,1.2,0.0,0.0,0.6,1.6,0.3,1.4,0.0,0.0,1.6,1.4,0.1,2.9,0.6,1.1,1.7,0.0,0.0,0.3,0.7,0.2
2022-05-14,0.0,1.4,3.5,0.3,0.3,0.0,1.1,0.0,0.2,0.0,0.0,0.0,0.0,7.8,0.0,1.0,2.5,3.1,3.9,0.0,1.9,0.2,0.3,0.0
2022-05-15,0.7,0.0,2.6,0.3,0.0,0.0,1.6,0.1,0.1,0.1,0.0,0.0,0.1,1.2,1.2,1.3,0.0,1.6,2.8,0.1,0.0,0.1,1.3,0.0
2022-05-16,0.1,0.4,0.7,0.5,0.3,0.0,6.2,0.0,0.4,0.0,0.0,0.0,0.0,12.9,0.0,0.0,0.7,2.5,5.8,0.0,2.7,0.4,0.0,0.0
2022-05-17,0.0,0.3,0.0,3.5,0.1,0.0,0.4,1.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.8,1.1,1.6,0.0,0.7,0.0,0.2,0.0
2022-05-18,0.0,0.8,0.0,1.7,0.6,0.0,0.8,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.9,0.0,1.1,1.7,3.0,0.0,1.4,0.0,0.1,0.0
2022-05-19,0.6,1.7,0.0,5.2,0.6,0.0,0.6,0.4,7.0,0.0,0.1,0.0,0.4,0.7,0.8,0.2,1.1,1.6,0.7,0.0,4.0,7.0,0.0,0.0
2022-05-20,0.4,5.1,1.9,3.2,2.1,0.0,0.4,0.3,1.7,0.9,0.0,0.0,0.3,3.2,0.0,1.5,3.5,1.0,0.7,0.0,8.0,1.7,0.0,0.4
2022-05-21,0.5,1.4,0.3,0.2,0.0,0.1,1.5,0.9,4.3,2.7,0.0,0.3,0.9,0.1,0.0,1.3,3.3,2.4,0.9,1.4,4.1,4.3,0.0,0.2
2022-05-22,0.0,0.0,5.4,3.9,0.5,0.0,2.2,2.0,3.1,2.3,0.0,0.0,2.0,0.4,0.1,2.4,4.5,2.4,3.9,0.4,1.4,3.1,0.3,7.6
2022-05-23,1.2,1.1,4.1,4.3,0.7,0.0,0.0,0.0,7.6,5.6,0.0,0.0,0.0,2.2,0.0,10.8,2.5,0.5,0.6,0.0,9.4,7.6,8.5,0.2
2022-05-24,0.0,0.2,0.4,1.7,0.1,0.0,0.5,0.7,0.1,0.1,0.0,0.0,0.7,0.0,0.0,0.6,2.6,0.3,0.5,0.0,2.1,0.1,0.0,0.0
2022-05-25,0.2,1.8,0.6,0.3,0.3,0.0,2.2,1.6,1.0,0.0,0.0,0.0,1.6,0.0,0.0,0.6,1.3,2.7,3.0,0.0,3.2,1.0,0.0,0.0
2022-05-26,0.1,1.4,0.8,3.9,0.0,0.0,3.1,0.6,0.4,0.1,0.0,0.0,0.6,0.2,0.0,0.3,1.6,3.3,2.3,0.0,0.7,0.4,0.1,0.0
2022-05-27,0.0,3.5,0.2,1.3,0.4,0.0,1.1,0.2,1.0,0.1,0.0,0.0,0.2,0.0,0.0,0.5,0.5,3.0,1.0,0.0,0.5,1.0,0.0,0.0
2022-05-28,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.0,0.4,0.0,0.0,0.0
2022-05-29,0.0,0.5,0.4,0.3,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.2,0.6,0.0,0.4,0.0,0.0,0.0
2022-05-30,0.0,0.1,0.2,1.0,0.1,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.3,0.5,0.4,0.0,0.4,0.0,0.0,0.0
2022-05-31,0.1,2.2,0.0,1.1,0.6,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.8,0.6,0.0,1.0,0.0,0.0,0.0
2022-06-01,0.2,0.1,0.3,0.0,1.6,0.0,0.2,0.1,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.7,1.5,0.0,0.0,0.2,1.7,0.0
2022-06-02,0.0,0.0,0.2,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.2,0.0,0.3,0.5,0.0,0.3,0.1,0.1,0.0
2022-06-03,0.0,0.1,0.4,0.1,0.0,0.0,0.6,0.3,0.6,0.0,0.0,0.0,0.3,0.1,0.0,1.0,0.1,0.6,1.4,0.0,0.0,0.6,0.6,0.0
2022-06-04,0.0,0.3,0.8,1.2,0.3,0.0,0.6,0.8,0.9,0.0,0.0,0.0,0.8,1.1,0.0,1.4,0.6,0.7,0.6,0.2,0.9,0.9,0.9,0.0
2022-06-05,0.1,4.4,1.8,0.8,1.8,0.0,1.2,1.2,0.0,1.4,0.0,0.0,1.2,1.2,0.0,1.7,1.1,2.8,1.0,0.0,2.1,0.0,0.0,0.3
